property_id,city,property_type,area_sqft,bedrooms,bathrooms,property_age,distance_to_metro_km,crime_index,school_rating,parking_spaces,furnished,listing_date,price,sold,market_segment
1,Chennai,Villa,3285,2,5,5,13.45,12.82,8.8,0,Yes,2024-09-15,2620342,0,Budget
2,Bengaluru,Villa,935,6,5,23,14.88,68.18,3.1,3,No,2025-08-08,2580562,0,Budget
3,Delhi,Plot,2665,5,3,12,17.4,52.92,4.9,2,No,2022-10-27,2471350,0,Budget
4,Chennai,Apartment,1777,7,4,38,8.1,97.76,9.5,3,No,2022-01-14,2088243,0,Budget
5,Nashik,Independent House,4048,5,1,7,8.47,87.94,2.6,1,No,2023-07-26,1884654,0,Budget
6,Ahmedabad,Independent House,1523,2,2,2,7.64,41.62,8.5,3,Yes,2023-04-09,1713772,1,Budget
7,Delhi,Plot,820,6,4,7,13.88,55.57,6.8,1,Yes,2024-11-17,1720451,1,Budget
8,Delhi,Plot,2762,2,2,27,7.46,76.71,5.8,0,No,2025-06-18,808610,1,Budget
9,Chennai,Independent House,714,7,3,37,13.9,7.2,7.6,1,No,2023-03-10,2007801,0,Budget
10,Pune,Independent House,2886,2,5,26,12.29,61.52,6.8,3,No,2024-08-11,1773178,1,Budget
11,Nashik,Apartment,2000,2,4,26,16.5,72.15,7.1,1,Yes,2024-10-17,500000,1,Budget
12,Chennai,Plot,3548,1,2,19,0.51,35.83,9.0,0,No,2025-10-13,1459838,1,Budget
13,Nashik,Apartment,3017,4,5,27,2.28,40.16,4.1,3,No,2025-04-01,1723057,1,Budget
14,Nashik,Plot,499,6,4,25,8.38,39.99,7.3,3,No,2025-04-11,2747328,0,Budget
15,Ahmedabad,Plot,1290,7,1,11,11.32,79.38,1.6,2,Yes,2024-07-21,1065345,1,Budget
16,Delhi,Apartment,1211,1,2,13,7.05,91.83,9.8,1,Yes,2025-06-02,500000,1,Budget
17,Bengaluru,Villa,3932,4,4,1,11.58,80.32,2.2,0,No,2022-05-27,1739089,1,Budget
18,Ahmedabad,Villa,1821,4,5,37,3.38,29.58,1.0,1,Yes,2024-09-18,1787202,1,Budget
19,Ahmedabad,Villa,4443,6,3,18,16.57,8.13,8.1,3,Yes,2022-01-14,3537649,0,Budget
20,Nashik,Plot,644,4,1,25,8.45,48.75,9.4,0,No,2022-05-22,1947092,0,Budget
21,Hyderabad,Apartment,3852,7,5,10,17.52,69.21,2.6,1,No,2025-11-29,2481685,0,Budget
22,Delhi,Villa,2499,5,2,18,9.59,70.22,6.0,1,No,2025-08-17,2849274,0,Budget
23,Pune,Independent House,3662,4,2,21,1.44,16.32,9.1,0,No,2023-02-04,2686681,0,Budget
24,Ahmedabad,Villa,2569,6,4,31,19.08,80.61,2.1,1,No,2024-05-02,1718339,1,Budget
25,Bengaluru,Apartment,3882,2,2,20,1.66,60.38,3.7,3,No,2023-06-07,1059342,1,Budget
26,Hyderabad,Plot,1413,5,1,32,6.72,61.32,4.6,2,No,2022-12-08,1729789,1,Budget
27,Hyderabad,Apartment,4789,7,4,31,1.99,67.77,9.3,1,Yes,2023-08-31,3056700,0,Budget
28,Pune,Plot,645,5,4,17,3.71,55.74,3.6,1,Yes,2022-12-28,2100662,0,Budget
29,Ahmedabad,Apartment,4467,1,5,26,7.7,21.88,6.0,1,Yes,2022-11-22,1812166,1,Budget
