property_id,city,property_type,area_sqft,bedrooms,bathrooms,property_age,distance_to_metro_km,crime_index,school_rating,parking_spaces,furnished,price,sold,market_segment,year,month,day
1961,Pune,Plot,1392,4,2,16,12.09,41.95,3.7,1,Yes,1383237,1,Budget,2022,1,9
3198,Delhi,Independent House,4427,1,1,2,14.4,58.15,1.8,2,Yes,998787,1,Budget,2023,9,24
45775,Nashik,Apartment,997,1,3,30,9.0,5.48,1.8,2,Yes,500000,1,Budget,2022,4,17
27275,Pune,Apartment,2828,7,1,5,13.18,64.33,2.7,2,Yes,2017855,0,Budget,2024,1,5
14109,Hyderabad,Apartment,3898,1,4,34,5.72,85.11,6.2,1,No,1771708,1,Budget,2025,3,6
19022,Nashik,Apartment,2823,1,4,34,10.59,24.76,2.3,3,Yes,1301508,1,Budget,2024,10,1
1247,Hyderabad,Villa,2131,2,4,15,15.41,24.46,8.3,0,Yes,1401923,1,Budget,2024,8,31
46384,Nashik,Apartment,4809,1,5,32,13.53,79.65,5.2,0,Yes,500000,1,Budget,2023,4,12
31095,Ahmedabad,Apartment,413,1,5,29,7.32,88.47,3.3,0,Yes,500000,1,Budget,2024,10,23
28976,Mumbai,Villa,3275,4,5,37,5.91,4.0,1.1,3,Yes,2165570,0,Budget,2024,4,4
43046,Ahmedabad,Plot,1595,7,4,2,5.69,91.47,7.4,2,Yes,3065278,0,Budget,2023,4,23
3696,Nashik,Plot,3895,6,5,23,14.94,89.13,4.6,1,Yes,2358481,0,Budget,2025,5,27
43000,Mumbai,Villa,997,4,1,33,16.95,63.15,9.8,2,No,500000,1,Budget,2024,2,3
12498,Hyderabad,Independent House,4377,2,1,28,1.41,9.43,6.3,2,Yes,1704839,1,Budget,2022,10,11
44268,Hyderabad,Apartment,1775,1,2,39,19.91,61.25,7.0,0,Yes,500000,1,Budget,2024,6,6
47481,Ahmedabad,Plot,1162,4,4,14,16.98,42.02,5.4,0,Yes,2254400,0,Budget,2024,10,23
20155,Nashik,Apartment,3221,2,3,25,19.16,61.78,9.7,1,Yes,2325576,0,Budget,2023,3,6
43768,Nashik,Plot,802,5,3,7,15.36,24.61,7.2,0,Yes,1974994,0,Budget,2024,1,8
48363,Mumbai,Apartment,625,6,2,14,5.89,66.76,6.6,3,Yes,2428016,0,Budget,2025,3,13
499,Mumbai,Plot,1256,7,5,25,1.04,41.78,7.9,1,No,3160627,0,Budget,2023,2,20
36607,Hyderabad,Villa,2874,1,1,36,7.69,94.34,9.9,2,No,500000,1,Budget,2023,12,29
18902,Ahmedabad,Villa,4674,7,3,15,1.37,19.29,8.9,1,No,4990642,0,Budget,2022,7,28
17025,Ahmedabad,Plot,4196,7,5,10,2.07,79.23,9.9,3,Yes,4603713,0,Budget,2022,12,11
16656,Delhi,Apartment,3271,4,3,10,11.07,26.31,7.3,1,Yes,1949810,0,Budget,2025,6,29
14621,Hyderabad,Independent House,1700,5,1,24,9.93,42.97,9.3,2,No,2191174,0,Budget,2024,11,4
13021,Chennai,Apartment,3209,3,1,1,9.51,80.41,1.1,1,No,1487093,1,Budget,2023,12,21
592,Ahmedabad,Villa,2952,3,2,31,15.21,62.12,6.4,2,No,676095,1,Budget,2023,3,27
30478,Ahmedabad,Independent House,1333,3,2,6,3.54,12.18,9.6,3,Yes,2728005,0,Budget,2023,2,19
2833,Delhi,Villa,1875,4,4,37,12.62,82.13,5.5,0,No,1293430,1,Budget,2025,4,16
26056,Pune,Apartment,622,7,3,3,13.28,45.59,9.5,0,Yes,2695757,0,Budget,2024,2,24
34194,Mumbai,Independent House,2454,3,5,14,5.07,22.89,7.5,2,No,2282065,0,Budget,2023,2,18
30264,Hyderabad,Plot,4718,1,2,16,19.24,59.45,3.0,1,Yes,500000,1,Budget,2024,9,11
40306,Nashik,Independent House,1730,6,2,17,10.89,72.41,6.1,3,No,1661446,1,Budget,2024,8,17
38053,Delhi,Independent House,4271,5,2,35,16.48,67.54,7.9,1,No,2126839,0,Budget,2023,6,6
43257,Chennai,Independent House,618,4,4,19,4.88,47.28,9.0,2,No,2455711,0,Budget,2022,10,8
13157,Bengaluru,Apartment,2623,6,3,1,17.04,2.71,7.6,2,No,2736403,0,Budget,2022,2,2
41140,Bengaluru,Apartment,1789,2,4,14,16.57,19.44,6.2,1,Yes,1011978,1,Budget,2025,8,26
48071,Nashik,Independent House,3787,1,5,2,9.02,6.61,4.5,1,No,2057623,0,Budget,2024,11,24
40272,Hyderabad,Plot,555,1,4,15,1.08,22.27,7.5,3,No,972372,1,Budget,2024,7,14
4251,Delhi,Villa,2962,6,2,7,10.88,19.92,8.1,1,No,2436161,0,Budget,2025,3,11
30589,Chennai,Plot,3274,3,5,14,15.12,9.01,8.5,2,Yes,2844576,0,Budget,2023,4,17
11558,Chennai,Apartment,1597,2,2,0,18.85,45.63,1.5,1,No,591549,1,Budget,2025,6,8
37172,Ahmedabad,Independent House,688,2,1,2,13.87,11.74,1.5,3,No,500000,1,Budget,2022,7,24
3352,Hyderabad,Plot,3223,1,5,32,2.67,30.27,9.3,1,Yes,2470197,0,Budget,2022,4,15
27978,Mumbai,Plot,615,5,3,21,0.48,87.07,8.3,2,No,1740884,1,Budget,2022,4,9
21745,Mumbai,Independent House,2911,6,4,26,5.84,50.34,5.6,2,No,2819688,0,Budget,2023,7,22
10086,Delhi,Apartment,4449,6,4,39,17.3,24.22,2.8,1,Yes,1654172,1,Budget,2023,2,14
